trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
173,False,"{'a': 0.8, 'e': 0.13499999999999923}",20,10,14.500422628103397,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.8, 'e': 0.12999999999999923}",20,9,16.242442221924474,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.8, 'e': 0.12499999999999922}",20,8,15.685177139124413,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.8, 'e': 0.11999999999999922}",25,11,25.05219973012557,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.8, 'e': 0.11499999999999921}",20,6,3.8380230468314247,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.8, 'e': 0.10999999999999921}",25,7,13.06192925905527,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.8, 'e': 0.1049999999999992}",25,8,-21.379463593801475,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.8, 'e': 0.0999999999999992}",20,14,8.138177782522634,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.8, 'e': 0.0949999999999992}",20,12,15.287989639565112,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.8, 'e': 0.08999999999999919}",20,14,13.753396222185689,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.8, 'e': 0.08499999999999919}",20,6,-16.861561350197015,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
184,False,"{'a': 0.8, 'e': 0.07999999999999918}",30,0,34.6616390887466,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.8, 'e': 0.07499999999999918}",20,3,25.432210566685516,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.8, 'e': 0.06999999999999917}",20,4,21.876681804910273,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.8, 'e': 0.06499999999999917}",20,12,10.57408370441349,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.8, 'e': 0.05999999999999917}",20,9,18.898022271871305,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.8, 'e': 0.054999999999999175}",20,11,14.27797908398622,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.8, 'e': 0.04999999999999918}",25,8,35.125524220544776,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.8, 'e': 0.04499999999999918}",20,6,29.956169476745323,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.8, 'e': 0.03999999999999918}",20,14,10.523090901967663,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.8, 'e': 0.034999999999999185}",20,14,11.18027034735865,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.8, 'e': 0.029999999999999184}",20,6,26.016660748387174,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.8, 'e': 0.024999999999999183}",30,18,20.624119032363033,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.8, 'e': 0.01999999999999918}",30,21,15.56071546957586,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
